"","mean.ind","n.r.false","cor.stats.num.r","cor.stats.num.v","v1","v2","v3","v4","v5","FDR","v1.3rd","v2.3rd","v3.3rd","v4.3rd","v5.3rd","FDR.3rd","v1.4th","v2.4th","v3.4th","v4.4th","v5.4th","FDR.4th"
"18",2,1,-0.0135135135135135,0,0.823259999999997,0.0133499999999999,0.0124200000000003,0.0121400000000008,0.0131500000000002,0.0058400000000002,0.5642,0.000380000000000063,0.000390000000000041,0.00041999999999994,0.000369999999999944,5.49999999999832e-05,0.313849999999999,1.00000000000054e-05,0,1.00000000000029e-05,0,0
"19",2,1,-0.0135135135135135,-0.0135135135135135,0.83459,0.01207,0.0126299999999998,0.0122699999999999,0.0121299999999999,0.00563499999999995,0.573810000000001,0.000180000000000009,0.000269999999999974,0.00031999999999999,0.000270000000000003,1.50000000000097e-05,0.310700000000002,0,0,1.0000000000014e-05,0,0
"20",2,1,-0.0135135135135135,0.7,0.42595,0.0238199999999996,0.0236800000000006,0.0236199999999996,0.0235399999999999,0.0213008333333326,0.321,0.0107899999999999,0.0110000000000002,0.01018,0.0108000000000002,0.0077683333333333,0.26312,0.00663999999999963,0.00644000000000012,0.00636999999999978,0.00655999999999985,0.00442833333333341
"21",2,1,0.7,0.7,0.424579999999999,0.0232499999999995,0.0234500000000003,0.0238199999999995,0.0237800000000004,0.016047833333334,0.319060000000003,0.0101299999999998,0.0105699999999994,0.0105499999999996,0.01045,0.00621600000000009,0.262639999999997,0.00606000000000008,0.00654999999999965,0.00637999999999995,0.00617000000000041,0.00355483333333321
"22",2,2,0,0,0.824749999999999,0.826150000000001,0.0127700000000001,0.0131299999999998,0.0125599999999998,0.0054933333333334,0.56762,0.564919999999999,0.000270000000000007,0.000320000000000034,0.000380000000000067,4.49999999999919e-05,0.31473,0.313369999999999,1.0000000000009e-05,0,1.99999999999927e-05,0
"23",2,2,0,-0.0135135135135135,0.83627,0.835119999999998,0.01245,0.0123600000000003,0.0122899999999999,0.00529499999999978,0.574349999999999,0.57377,0.000260000000000037,0.00038000000000003,0.00022999999999999,2.66666666666633e-05,0.3122,0.31278,0,0,0,0
"24",2,2,0,0.7,0.42492,0.423350000000001,0.0229899999999999,0.0235399999999999,0.0234100000000008,0.0159849999999997,0.32117,0.316250000000003,0.0102799999999994,0.0102199999999999,0.0109499999999995,0.00595499999999987,0.26558,0.258820000000003,0.00624999999999961,0.00602000000000031,0.00690000000000004,0.0032116666666667
"25",2,2,-0.0135135135135135,0,0.822510000000001,0.823069999999999,0.0128800000000002,0.0125000000000003,0.0132799999999998,0.00534833333333332,0.56632,0.565970000000001,0.000369999999999898,0.000330000000000019,0.000279999999999969,2.83333333333485e-05,0.313390000000001,0.31697,9.99999999999687e-06,1.0000000000005e-05,1.99999999999948e-05,0
"26",2,2,-0.0135135135135135,-0.0135135135135135,0.83608,0.835539999999999,0.0123799999999999,0.01168,0.0120899999999997,0.00479000000000008,0.573360000000001,0.572340000000002,0.000330000000000036,0.000279999999999972,0.000270000000000007,1.33333333333432e-05,0.310679999999999,0.312789999999998,3.99999999999757e-05,0,1.0000000000012e-05,0
"27",2,2,-0.0135135135135135,0.7,0.422880000000001,0.424100000000001,0.0243500000000012,0.0234699999999986,0.0232099999999999,0.0162050000000004,0.317900000000002,0.319499999999998,0.0108300000000002,0.0100199999999997,0.01047,0.00615166666666681,0.261440000000004,0.262470000000001,0.00653000000000012,0.00626999999999975,0.00636000000000001,0.00342999999999989
"28",2,2,0.7,0.7,0.423860000000001,0.421630000000002,0.0231300000000003,0.0234700000000002,0.0230500000000001,0.0127616666666667,0.318179999999997,0.317870000000001,0.01023,0.0101500000000001,0.0102199999999998,0.00522799999999995,0.260619999999999,0.259689999999998,0.00596,0.00618999999999991,0.00636999999999971,0.00314833333333326
